,issue_date,from_git_hash,to_git_hash,message
0,2020-03-31,,ce9872cf,update date to match format
1,2020-04-01,ce9872cf,376119aa,add 3/22 and 3/30
2,2020-04-02,376119aa,33640a58,update data for 4/1/20
3,2020-04-03,33640a58,6af1fed7,automated update
4,2020-04-04,6af1fed7,817c2bd1,change data type for FIPS
5,2020-04-05,817c2bd1,f7c23846,automated update
6,2020-04-06,f7c23846,865c933c,automated update
7,2020-04-07,865c933c,73fd981c,automated update
8,2020-04-08,73fd981c,1a68338b,automated update
9,2020-04-09,1a68338b,5acaa8f8,automated update
10,2020-04-10,5acaa8f8,130954a2,automated update
11,2020-04-11,130954a2,6e3f6284,automated update
12,2020-04-12,6e3f6284,dcd41816,automated update
13,2020-04-13,dcd41816,b28a5e72,automated update
14,2020-04-14,b28a5e72,3f59216b,"update Okaloosa, FL"
15,2020-04-15,3f59216b,cf5550f6,update deaths
16,2020-04-16,cf5550f6,7a2941d8,adjust data
17,2020-04-17,7a2941d8,a8e66697,Correction for Sutter County California
18,2020-04-18,a8e66697,a62b8218,automated update
19,2020-04-19,a62b8218,6c4ac9ee,update data
20,2020-04-20,6c4ac9ee,1f23447a,automated update
21,2020-04-21,1f23447a,a212e6ce,automated update
22,2020-04-22,a212e6ce,db4efa2b,automated update
23,2020-04-23,db4efa2b,8ad492e9,automated update
24,2020-04-24,8ad492e9,19299ca1,automated update
25,2020-04-25,19299ca1,45909bb3,automated update
26,2020-04-26,45909bb3,fe60e472,Update NYC deaths
27,2020-04-27,fe60e472,8a924192,automated update
28,2020-04-28,8a924192,bda67e3d,automated update
29,2020-04-29,bda67e3d,4fd1f718,automated update
30,2020-04-30,4fd1f718,05622493,automated update
31,2020-05-01,05622493,2666c910,automated update
32,2020-05-02,2666c910,ee56e55a,adjusted timeseries
33,2020-05-03,ee56e55a,476c78eb,automated update
34,2020-05-04,476c78eb,3377100d,automated update
35,2020-05-05,3377100d,dce1b48f,automated update
36,2020-05-06,dce1b48f,78cea7a7,automated update
37,2020-05-07,78cea7a7,ecb26cf5,automated update
38,2020-05-08,ecb26cf5,9fbca1dc,automated update
39,2020-05-09,9fbca1dc,081f76bf,automated update
40,2020-05-10,081f76bf,306c8088,Virginia May 6713 to 737
41,2020-05-11,306c8088,a150df0f,automated update
42,2020-05-12,a150df0f,c5f09505,automated update
43,2020-05-13,c5f09505,25e7bc4e,automated update
44,2020-05-14,25e7bc4e,5c2b5ff9,automated update
45,2020-05-15,5c2b5ff9,f51f51bf,automated update
46,2020-05-16,f51f51bf,963407b0,automated update
47,2020-05-17,963407b0,c878cd0a,automated update
48,2020-05-18,c878cd0a,cf0da8ef,automated update
49,2020-05-19,cf0da8ef,8390ba65,automated update
50,2020-05-20,8390ba65,1b3fbc5c,automated update
51,2020-05-21,1b3fbc5c,1a33be06,automated update
52,2020-05-22,1a33be06,daa20971,automated update
53,2020-05-23,daa20971,307c5f5e,automated update
54,2020-05-24,307c5f5e,272b1eb8,automated update
55,2020-05-25,272b1eb8,23bf7b79,automated update
56,2020-05-26,23bf7b79,8747ab05,automated update
57,2020-05-27,8747ab05,ed06dde3,automated update
58,2020-05-28,ed06dde3,04c9ce88,automated update
59,2020-05-29,04c9ce88,66c71f58,automated update
60,2020-05-30,66c71f58,077f03a8,automated update
61,2020-05-31,077f03a8,43a9ba95,automated update
62,2020-06-01,43a9ba95,8561285a,automated update
63,2020-06-02,8561285a,73ce6ae1,automated update
64,2020-06-03,73ce6ae1,bfd7e2ea,automated update
65,2020-06-04,bfd7e2ea,1f5e9d54,automated update
66,2020-06-05,1f5e9d54,4883c58c,automated update
67,2020-06-06,4883c58c,9776b2c1,automated update
68,2020-06-07,9776b2c1,8c85544f,automated update
69,2020-06-08,8c85544f,dd07d05f,automated update
70,2020-06-09,dd07d05f,9b7cf460,automated update
71,2020-06-10,9b7cf460,ce464e2e,Updates MI historical deaths time series
72,2020-06-11,ce464e2e,1f4ce8fc,automated update
73,2020-06-12,1f4ce8fc,96e26c42,automated update
74,2020-06-13,96e26c42,52005e36,automated update
75,2020-06-14,52005e36,02ea750a,automated update
76,2020-06-15,02ea750a,9967fabe,automated update
77,2020-06-16,9967fabe,aa89ad0c,automated update
78,2020-06-17,aa89ad0c,4981d756,automated update
79,2020-06-18,4981d756,f0c7a1c4,automated update
80,2020-06-19,f0c7a1c4,d37b119f,automated update
81,2020-06-20,d37b119f,a46d5f37,automated update
82,2020-06-21,a46d5f37,77c1d13a,automated update
83,2020-06-22,77c1d13a,70995de5,automated update
84,2020-06-23,70995de5,f613ae22,automated update
85,2020-06-24,f613ae22,83f58fc4,automated update
86,2020-06-25,83f58fc4,4bc248ff,Update OR 6/20-6/21
87,2020-06-26,4bc248ff,89b1b355,automated update
88,2020-06-27,89b1b355,c59d2efb,automated update
89,2020-06-28,c59d2efb,53c386e6,automated update
90,2020-06-29,53c386e6,14bb65ab,automated update
91,2020-06-30,14bb65ab,78d91b2d,Update June 29 Timeseries
92,2020-07-01,78d91b2d,4e85a5f4,automated update
93,2020-07-02,4e85a5f4,7d8319d0,automated update
94,2020-07-03,7d8319d0,e6a5f282,automated update
95,2020-07-04,e6a5f282,18a1db50,automated update
96,2020-07-05,18a1db50,178f8b40,automated update
97,2020-07-06,178f8b40,b8ed8d18,automated update
98,2020-07-07,b8ed8d18,6f1fc6a7,automated update
99,2020-07-08,6f1fc6a7,8bfaf365,automated update
100,2020-07-09,8bfaf365,221ce93d,automated update
101,2020-07-10,221ce93d,f1482fd2,automated update
102,2020-07-11,f1482fd2,87c377b5,automated update
103,2020-07-12,87c377b5,3c26a66b,automated update
104,2020-07-13,3c26a66b,7c1618d6,automated update
105,2020-07-14,7c1618d6,9780e322,automated update
106,2020-07-15,9780e322,88e8d1d1,automated update
107,2020-07-16,88e8d1d1,a7cb75f7,automated update
108,2020-07-17,a7cb75f7,97a62cc5,automated update
109,2020-07-18,97a62cc5,f54858d9,automated update
110,2020-07-19,f54858d9,06d75e0e,automated update
111,2020-07-20,06d75e0e,b1f141f6,automated update
112,2020-07-21,b1f141f6,adf97ebf,automated update
113,2020-07-22,adf97ebf,08d0f371,automated update
114,2020-07-23,08d0f371,217aa2cb,automated update
115,2020-07-24,217aa2cb,8f72ac56,automated update
116,2020-07-25,8f72ac56,d602c347,automated update
117,2020-07-26,d602c347,c504f110,automated update
118,2020-07-27,c504f110,b4652d0f,automated update
119,2020-07-28,b4652d0f,3569e7c5,automated update
120,2020-07-29,3569e7c5,b8c54542,automated update
121,2020-07-30,b8c54542,063a9ff6,automated update
122,2020-07-31,063a9ff6,7427f3b4,automated update
123,2020-08-01,7427f3b4,221b6b0a,automated update
124,2020-08-02,221b6b0a,ab9ce854,automated update
125,2020-08-03,ab9ce854,e9ff574c,automated update
126,2020-08-04,e9ff574c,6cfe493c,Updates DC
127,2020-08-05,6cfe493c,a42be334,automated update
128,2020-08-06,a42be334,143a436d,automated update
129,2020-08-07,143a436d,cf8b8bed,automated update
130,2020-08-08,cf8b8bed,309b82db,automated update
131,2020-08-09,309b82db,3ce19b1d,automated update
132,2020-08-10,3ce19b1d,eb21b256,automated update
133,2020-08-11,eb21b256,a85345b1,automated update
134,2020-08-12,a85345b1,aeef3326,Automated update
135,2020-08-13,aeef3326,ce4e47c1,Automated update
136,2020-08-14,ce4e47c1,b9466377,Automated update
137,2020-08-15,b9466377,4a4b2d9c,Automated update
138,2020-08-16,4a4b2d9c,39ab5796,Automated update
139,2020-08-17,39ab5796,2696ca2c,Automated update
140,2020-08-18,2696ca2c,28bdf279,Automated update
141,2020-08-19,28bdf279,553ad7c4,Automated update
142,2020-08-20,553ad7c4,b7ffac4f,Automated update
143,2020-08-21,b7ffac4f,164a110f,Automated update
144,2020-08-22,164a110f,e634d627,Automated update
145,2020-08-23,e634d627,4eb0bbe2,Automated update
146,2020-08-24,4eb0bbe2,a10636a9,Automated update
147,2020-08-25,a10636a9,8cbbe1c8,Automated update
148,2020-08-26,8cbbe1c8,9503bbf1,Automated update
149,2020-08-27,9503bbf1,a428d8d4,Automated update
150,2020-08-28,a428d8d4,c5293161,Automated update
151,2020-08-29,c5293161,37b2fa02,Automated update
152,2020-08-30,37b2fa02,56f5b3ce,Automated update
153,2020-08-31,56f5b3ce,b6cf765a,Automated update
154,2020-09-01,b6cf765a,726c5975,Automated update
155,2020-09-02,726c5975,3d7b0cc0,Automated update
156,2020-09-03,3d7b0cc0,52e9f010,Automated update
157,2020-09-04,52e9f010,6d759cea,Automated update
158,2020-09-05,6d759cea,a5b03688,Automated update
159,2020-09-06,a5b03688,31d74e0f,Automated update
160,2020-09-07,31d74e0f,6ed3d6d3,Automated update
161,2020-09-08,6ed3d6d3,0bf4d22e,Automated update
162,2020-09-09,0bf4d22e,968f9e62,Automated update
163,2020-09-10,968f9e62,67b87f29,Automated update
164,2020-09-11,67b87f29,f4119c8c,Automated update
165,2020-09-12,f4119c8c,4c8006b0,Automated update
166,2020-09-13,4c8006b0,5e9200bd,Automated update
167,2020-09-14,5e9200bd,29b85c49,Automated update
168,2020-09-15,29b85c49,33b3be9f,Update Idaho data for 09/14
169,2020-09-16,33b3be9f,aa984b73,Automated update
170,2020-09-17,aa984b73,b5360e17,Automated update
171,2020-09-18,b5360e17,06b56a8d,Automated update
